child_id,parent_id,link_type,degree,betweenness,closeness
ixuxnym,ixux9pl,reply to a comment,6.75052316554533e-05,7.5950980710456e-09,3.750290647525183e-05
ixuxsgg,ixuxnym,reply to a comment,4.50034877703022e-05,3.0380392284182405e-09,3.857441808883045e-05
ixuxva8,ixutn04,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuxw3a,ixrm13r,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixuy15w,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuy7j3,ixa7ybv,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuyazt,z5at5b,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuyhjy,z5auic,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuyis1,ixpyc7u,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuyjcg,z4rsl0,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuyn6b,z56nlv,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixuyudx,z587rx,reply to a submission,6.75052316554533e-05,4.05071897122432e-09,3.0002325180201466e-05
ixuyvxj,ixupfe8,reply to a comment,4.50034877703022e-05,1.2152156913672962e-08,3.857441808883045e-05
ixuz1wx,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuz2k5,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuz3ht,iwtkd8p,reply to a comment,6.75052316554533e-05,1.063313729946384e-08,3.375261582772665e-05
ixuz60x,z5ayxy,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuz6fq,ixt4dw6,reply to a comment,4.50034877703022e-05,3.5443790998212804e-09,3.937805179901443e-05
ixuzka7,z4viaa,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuzqwy,z58oti,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixuzww8,ixul7we,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixuzz1s,ixuxsgg,reply to a comment,2.25017438851511e-05,0.0,3.937805179901443e-05
ixv05xg,ixts7d3,reply to a comment,2.25017438851511e-05,0.0,3.857441808883045e-05
ixv071z,ixtk8by,reply to a comment,2.25017438851511e-05,0.0,4.125319712277701e-05
ixv079h,yxuing,reply to a submission,4.50034877703022e-05,2.02535948561216e-09,3.0002325180201466e-05
ixv08or,ixums8t,reply to a comment,9.00069755406044e-05,6.076078456836481e-09,3.600279021624176e-05
ixv0a8m,ixugau1,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv0hcp,iwz6ffn,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
