node_id,degree,betweenness,closeness
gjd6hmk,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gjdph5q,2.2550456646747097e-05,0.0,3.006727552899613e-05
glvbon0,2.2550456646747097e-05,0.0,2.2550456646747097e-05
lpu76g,2.2550456646747097e-05,0.0,0.0
gp2h0tr,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n3qqhi,4.5100913293494195e-05,0.0,0.0
gwrc06c,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n3qfs1,9.020182658698839e-05,0.0,0.0
gwrc44y,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
n3qz5b,0.00018040365317397678,0.0,0.0
gwrdkde,6.765136994024129e-05,1.5256036879902868e-09,2.2550456646747097e-05
gwrjqh0,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
gwrjx4b,0.00013530273988048258,2.542672813317145e-09,2.2550456646747097e-05
gwrkdep,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gwrn75n,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwrsufs,2.2550456646747097e-05,0.0,3.006727552899613e-05
gwrt89g,9.020182658698839e-05,1.5256036879902868e-09,2.2550456646747097e-05
gws8kv6,2.2550456646747097e-05,0.0,3.006727552899613e-05
n3qqwk,2.2550456646747097e-05,0.0,0.0
gwsc0g4,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwsfak5,2.2550456646747097e-05,0.0,3.006727552899613e-05
gwsg625,2.2550456646747097e-05,0.0,3.006727552899613e-05
n3tym7,0.00027060547976096516,0.0,0.0
gwshhdp,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gwsm6j4,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwswf1t,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwsyan7,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwt1v6y,2.2550456646747097e-05,0.0,3.006727552899613e-05
n3zeka,0.00011275228323373549,0.0,0.0
gwth1g1,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwthg5u,4.5100913293494195e-05,1.5256036879902868e-09,2.2550456646747097e-05
gwthtn3,4.5100913293494195e-05,1.5256036879902868e-09,2.2550456646747097e-05
n44ybi,9.020182658698839e-05,0.0,0.0
gwtr78a,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwtrelb,4.5100913293494195e-05,1.017069125326858e-09,2.2550456646747097e-05
gwts7so,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwtttf3,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gwtu8pp,6.765136994024129e-05,2.034138250653716e-09,3.006727552899613e-05
gwtv43f,4.5100913293494195e-05,2.034138250653716e-09,3.006727552899613e-05
gwtvt3p,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gwtwyd7,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gwtylcq,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
